Username,Content,translated_experience,lowercased,emojis_removed,slangs_replaced,contractions_replaced,punctuations_removed,numbers_removed,html_removed,spelling_corrected,stopwords_removed,stemmed_words,lemmatized
syth_eden,can be? My experience tell me LDR is most likely equal to failure. Unless the spouse has children,can be? My experience tell me LDR is most likely equal to failure. Unless the spouse has children,can be? my experience tell me ldr is most likely equal to failure. unless the spouse has children,can be? my experience tell me ldr is most likely equal to failure. unless the spouse has children,can be? my experience tell me ldr is most likely equal to failure. unless the spouse has children,can be? my experience tell me ldr is most likely equal to failure. unless the spouse has children,can be my experience tell me ldr is most likely equal to failure unless the spouse has children,can be my experience tell me ldr is most likely equal to failure unless the spouse has children,can be my experience tell me ldr is most likely equal to failure unless the spouse has children,can be my experience tell me ldr is most likely equal to failure unless the spouse has children,experience tell ldr likely equal failure unless spouse children,experi tell ldr like equal failur unless spous children,experience tell ldr likely equal failure unless spouse child
sheis_Z,"People in long distance relationships know they're cheating, they just overlook it.","People in long distance relationships know they're cheating, they just overlook it.","people in long distance relationships know they're cheating, they just overlook it.","people in long distance relationships know they're cheating, they just overlook it.","people in long distance relationships know they're cheating, they just overlook it.","people in long distance relationships know they are cheating, they just overlook it.",people in long distance relationships know they are cheating they just overlook it,people in long distance relationships know they are cheating they just overlook it,people in long distance relationships know they are cheating they just overlook it,people in long distance relationships know they are cheating they just overlook it,people long distance relationships know cheating overlook,peopl long distanc relationship know cheat overlook,people long distance relationship know cheat overlook
Lifeof_AG01,"This is why I hate long-distance relationships.
I want to be able to see you, feel you, smell you, taste you every time I yearn for you.
I crave my person a lot when I'm in love; the distance would frustate me.","This is why I hate long-distance relationships.
I want to be able to see you, feel you, smell you, taste you every time I yearn for you.
I crave my person a lot when I'm in love; the distance would frustate me.","this is why i hate long-distance relationships.
i want to be able to see you, feel you, smell you, taste you every time i yearn for you.
i crave my person a lot when i'm in love; the distance would frustate me.","this is why i hate long-distance relationships.
i want to be able to see you, feel you, smell you, taste you every time i yearn for you.
i crave my person a lot when i'm in love; the distance would frustate me.","this is why i hate long-distance relationships.
i want to be able to see you, feel you, smell you, taste you every time i yearn for you.
i crave my person a lot when i'm in love; the distance would frustate me.","this is why i hate long-distance relationships.
i want to be able to see you, feel you, smell you, taste you every time i yearn for you.
i crave my person a lot when i am in love; the distance would frustate me.","this is why i hate longdistance relationships
i want to be able to see you feel you smell you taste you every time i yearn for you
i crave my person a lot when i am in love the distance would frustate me","this is why i hate longdistance relationships
i want to be able to see you feel you smell you taste you every time i yearn for you
i crave my person a lot when i am in love the distance would frustate me",this is why i hate longdistance relationships i want to be able to see you feel you smell you taste you every time i yearn for you i crave my person a lot when i am in love the distance would frustate me,this is why i hate longdistance relationships i want to be able to see you feel you smell you taste you every time i year for you i grave my person a lot when i am in love the distance would frustrated me,hate longdistance relationships want able see feel smell taste every time year grave person lot love distance would frustrated,hate longdist relationship want abl see feel smell tast everi time year grave person lot love distanc would frustrat,hate longdistance relationship want able see feel smell taste every time year grave person lot love distance would frustrate
EraldTheRare,Long distance is punishment. No other way around it.,Long distance is punishment. No other way around it.,long distance is punishment. no other way around it.,long distance is punishment. no other way around it.,long distance is punishment. no other way around it.,long distance is punishment. no other way around it.,long distance is punishment no other way around it,long distance is punishment no other way around it,long distance is punishment no other way around it,long distance is punishment no other way around it,long distance punishment way around,long distanc punish way around,long distance punishment way around
Teeespilt,I think couples who do long distance get to experience love at it's purest form. You get to truly fall in love with their soul and who they are past a physical connection. The distance is hard but if you can get through that you can get through anything together,I think couples who do long distance get to experience love at it's purest form. You get to truly fall in love with their soul and who they are past a physical connection. The distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it's purest form. you get to truly fall in love with their soul and who they are past a physical connection. the distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it's purest form. you get to truly fall in love with their soul and who they are past a physical connection. the distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it's purest form. you get to truly fall in love with their soul and who they are past a physical connection. the distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it is purest form. you get to truly fall in love with their soul and who they are past a physical connection. the distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it is purest form you get to truly fall in love with their soul and who they are past a physical connection the distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it is purest form you get to truly fall in love with their soul and who they are past a physical connection the distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it is purest form you get to truly fall in love with their soul and who they are past a physical connection the distance is hard but if you can get through that you can get through anything together,i think couples who do long distance get to experience love at it is press form you get to truly fall in love with their soul and who they are past a physical connection the distance is hard but if you can get through that you can get through anything together,think couples long distance get experience love press form get truly fall love soul past physical connection distance hard get get anything together,think coupl long distanc get experi love press form get truli fall love soul past physic connect distanc hard get get anyth togeth,think couple long distance get experience love press form get truly fall love soul past physical connection distance hard get get anything together
AdeWard8,"Ten years with someone from another country. That feeling when you next see them is immeasurable.
The overwhlming feeling of love, want, closeness for someone you mostly interact with on the phone... But it easily crumbles when things get in the way.","Ten years with someone from another country. That feeling when you next see them is immeasurable.
The overwhlming feeling of love, want, closeness for someone you mostly interact with on the phone... But it easily crumbles when things get in the way.","ten years with someone from another country. that feeling when you next see them is immeasurable.
the overwhlming feeling of love, want, closeness for someone you mostly interact with on the phone... but it easily crumbles when things get in the way.","ten years with someone from another country. that feeling when you next see them is immeasurable.
the overwhlming feeling of love, want, closeness for someone you mostly interact with on the phone... but it easily crumbles when things get in the way.","ten years with someone from another country. that feeling when you next see them is immeasurable.
the overwhlming feeling of love, want, closeness for someone you mostly interact with on the phone... but it easily crumbles when things get in the way.","ten years with someone from another country. that feeling when you next see them is immeasurable.
the overwhlming feeling of love, want, closeness for someone you mostly interact with on the phone... but it easily crumbles when things get in the way.","ten years with someone from another country that feeling when you next see them is immeasurable
the overwhlming feeling of love want closeness for someone you mostly interact with on the phone but it easily crumbles when things get in the way","ten years with someone from another country that feeling when you next see them is immeasurable
the overwhlming feeling of love want closeness for someone you mostly interact with on the phone but it easily crumbles when things get in the way",ten years with someone from another country that feeling when you next see them is immeasurable the overwhlming feeling of love want closeness for someone you mostly interact with on the phone but it easily crumbles when things get in the way,ten years with someone from another country that feeling when you next see them is measurable the overwhelming feeling of love want closeness for someone you mostly interact with on the phone but it easily fumbles when things get in the way,ten years someone another country feeling next see measurable overwhelming feeling love want closeness someone mostly interact phone easily fumbles things get way,ten year someon anoth countri feel next see measur overwhelm feel love want close someon mostli interact phone easili fumbl thing get way,ten year someone another country feel next see measurable overwhelm feel love want closeness someone mostly interact phone easily fumble thing get way
la_angelina_,"I truly believe it's easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you. You usually feel like you don't know them so they can't judge you and when they accept you, it's a different feeling","I truly believe it's easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you. You usually feel like you don't know them so they can't judge you and when they accept you, it's a different feeling","i truly believe it's easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you. you usually feel like you don't know them so they can't judge you and when they accept you, it's a different feeling","i truly believe it's easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you. you usually feel like you don't know them so they can't judge you and when they accept you, it's a different feeling","i truly believe it's easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you. you usually feel like you don't know them so they can't judge you and when they accept you, it's a different feeling","i truly believe it is easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you. you usually feel like you do not know them so they cannot judge you and when they accept you, it is a different feeling",i truly believe it is easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you you usually feel like you do not know them so they cannot judge you and when they accept you it is a different feeling,i truly believe it is easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you you usually feel like you do not know them so they cannot judge you and when they accept you it is a different feeling,i truly believe it is easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you you usually feel like you do not know them so they cannot judge you and when they accept you it is a different feeling,i truly believe it is easier to fall in love with someone from afar because of that transparency of communication that you usually have with those farther from you you usually feel like you do not know them so they cannot judge you and when they accept you it is a different feeling,truly believe easier fall love someone afar transparency communication usually farther usually feel like know cannot judge accept different feeling,truli believ easier fall love someon afar transpar commun usual farther usual feel like know cannot judg accept differ feel,truly believe easy fall love someone afar transparency communication usually far usually feel like know can not judge accept different feeling
Pikachau3,"Das me and my wife now ?? we met on league through a friend, were LDR and now married and together forever ????","Das me and my wife now ?? we met on league through a friend, were LDR and now married and together forever ????","das me and my wife now ?? we met on league through a friend, were ldr and now married and together forever ????","das me and my wife now ?? we met on league through a friend, were ldr and now married and together forever ????","das me and my wife now ?? we met on league through a friend, were ldr and now married and together forever ????","das me and my wife now ?? we met on league through a friend, were ldr and now married and together forever ????",das me and my wife now  we met on league through a friend were ldr and now married and together forever ,das me and my wife now  we met on league through a friend were ldr and now married and together forever ,das me and my wife now  we met on league through a friend were ldr and now married and together forever ,das me and my wife now we met on league through a friend were ldr and now married and together forever,das wife met league friend ldr married together forever,da wife met leagu friend ldr marri togeth forev,das wife meet league friend ldr marry together forever
stumhurting,"it sucks too because as pure and nice as it is, long distance always going to be low chance to actually work out. The two right people always will make it work.","it sucks too because as pure and nice as it is, long distance always going to be low chance to actually work out. The two right people always will make it work.","it sucks too because as pure and nice as it is, long distance always going to be low chance to actually work out. the two right people always will make it work.","it sucks too because as pure and nice as it is, long distance always going to be low chance to actually work out. the two right people always will make it work.","it sucks too because as pure and nice as it is, long distance always going to be low chance to actually work out. the two right people always will make it work.","it sucks too because as pure and nice as it is, long distance always going to be low chance to actually work out. the two right people always will make it work.",it sucks too because as pure and nice as it is long distance always going to be low chance to actually work out the two right people always will make it work,it sucks too because as pure and nice as it is long distance always going to be low chance to actually work out the two right people always will make it work,it sucks too because as pure and nice as it is long distance always going to be low chance to actually work out the two right people always will make it work,it sucks too because as pure and nice as it is long distance always going to be low chance to actually work out the two right people always will make it work,sucks pure nice long distance always going low chance actually work two right people always make work,suck pure nice long distanc alway go low chanc actual work two right peopl alway make work,suck pure nice long distance always go low chance actually work two right people always make work
Bread_Piksol,"I feel is just fake love. You get in love with an idea of who he is, it may or may not be the same. Or maybe I'm just traumatized. I had a 8 month relationship, I went to visit her, and the last day of the trip she told me that she doesn't like me in person the she thought XD","I feel is just fake love. You get in love with an idea of who he is, it may or may not be the same. Or maybe I'm just traumatized. I had a 8 month relationship, I went to visit her, and the last day of the trip she told me that she doesn't like me in person the she thought XD","i feel is just fake love. you get in love with an idea of who he is, it may or may not be the same. or maybe i'm just traumatized. i had a 8 month relationship, i went to visit her, and the last day of the trip she told me that she doesn't like me in person the she thought xd","i feel is just fake love. you get in love with an idea of who he is, it may or may not be the same. or maybe i'm just traumatized. i had a 8 month relationship, i went to visit her, and the last day of the trip she told me that she doesn't like me in person the she thought xd","i feel is just fake love. you get in love with an idea of who he is, it may or may not be the same. or maybe i'm just traumatized. i had a 8 month relationship, i went to visit her, and the last day of the trip she told me that she doesn't like me in person the she thought xd","i feel is just fake love. you get in love with an idea of who he is, it may or may not be the same. or maybe i am just traumatized. i had a 8 month relationship, i went to visit her, and the last day of the trip she told me that she does not like me in person the she thought xd",i feel is just fake love you get in love with an idea of who he is it may or may not be the same or maybe i am just traumatized i had a 8 month relationship i went to visit her and the last day of the trip she told me that she does not like me in person the she thought xd,i feel is just fake love you get in love with an idea of who he is it may or may not be the same or maybe i am just traumatized i had a  month relationship i went to visit her and the last day of the trip she told me that she does not like me in person the she thought xd,i feel is just fake love you get in love with an idea of who he is it may or may not be the same or maybe i am just traumatized i had a  month relationship i went to visit her and the last day of the trip she told me that she does not like me in person the she thought xd,i feel is just fake love you get in love with an idea of who he is it may or may not be the same or maybe i am just traumatized i had a month relationship i went to visit her and the last day of the trip she told me that she does not like me in person the she thought xd,feel fake love get love idea may may maybe traumatized month relationship went visit last day trip told like person thought xd,feel fake love get love idea may may mayb traumat month relationship went visit last day trip told like person thought xd,feel fake love get love idea may may maybe traumatized month relationship go visit last day trip tell like person think xd
idiotsdoingshit,"Long distance relationships are as satisfying as normal relationships in terms of communication, intimacy, and commitment, studies show.","Long distance relationships are as satisfying as normal relationships in terms of communication, intimacy, and commitment, studies show.","long distance relationships are as satisfying as normal relationships in terms of communication, intimacy, and commitment, studies show.","long distance relationships are as satisfying as normal relationships in terms of communication, intimacy, and commitment, studies show.","long distance relationships are as satisfying as normal relationships in terms of communication, intimacy, and commitment, studies show.","long distance relationships are as satisfying as normal relationships in terms of communication, intimacy, and commitment, studies show.",long distance relationships are as satisfying as normal relationships in terms of communication intimacy and commitment studies show,long distance relationships are as satisfying as normal relationships in terms of communication intimacy and commitment studies show,long distance relationships are as satisfying as normal relationships in terms of communication intimacy and commitment studies show,long distance relationships are as satisfying as normal relationships in terms of communication intimacy and commitment studies show,long distance relationships satisfying normal relationships terms communication intimacy commitment studies show,long distanc relationship satisfi normal relationship term commun intimaci commit studi show,long distance relationship satisfy normal relationship term communication intimacy commitment study show
groworghost,"It works, only when both sides understand their roles. Communication and effort go a long way. I can't be the only one willing to travel to you, you have to be willing to come to me as well. We can even meet in the middle if it comes down to it.","It works, only when both sides understand their roles. Communication and effort go a long way. I can't be the only one willing to travel to you, you have to be willing to come to me as well. We can even meet in the middle if it comes down to it.","it works, only when both sides understand their roles. communication and effort go a long way. i can't be the only one willing to travel to you, you have to be willing to come to me as well. we can even meet in the middle if it comes down to it.","it works, only when both sides understand their roles. communication and effort go a long way. i can't be the only one willing to travel to you, you have to be willing to come to me as well. we can even meet in the middle if it comes down to it.","it works, only when both sides understand their roles. communication and effort go a long way. i can't be the only one willing to travel to you, you have to be willing to come to me as well. we can even meet in the middle if it comes down to it.","it works, only when both sides understand their roles. communication and effort go a long way. i cannot be the only one willing to travel to you, you have to be willing to come to me as well. we can even meet in the middle if it comes down to it.",it works only when both sides understand their roles communication and effort go a long way i cannot be the only one willing to travel to you you have to be willing to come to me as well we can even meet in the middle if it comes down to it,it works only when both sides understand their roles communication and effort go a long way i cannot be the only one willing to travel to you you have to be willing to come to me as well we can even meet in the middle if it comes down to it,it works only when both sides understand their roles communication and effort go a long way i cannot be the only one willing to travel to you you have to be willing to come to me as well we can even meet in the middle if it comes down to it,it works only when both sides understand their roles communication and effort go a long way i cannot be the only one willing to travel to you you have to be willing to come to me as well we can even meet in the middle if it comes down to it,works sides understand roles communication effort go long way cannot one willing travel willing come well even meet middle comes,work side understand role commun effort go long way cannot one will travel will come well even meet middl come,work side understand role communication effort go long way can not one willing travel willing come well even meet middle come
Justeki__,Depends entirely on the person and the timeline. Long distance with no end date is a different conversation from long distance with a plan.,Depends entirely on the person and the timeline. Long distance with no end date is a different conversation from long distance with a plan.,depends entirely on the person and the timeline. long distance with no end date is a different conversation from long distance with a plan.,depends entirely on the person and the timeline. long distance with no end date is a different conversation from long distance with a plan.,depends entirely on the person and the timeline. long distance with no end date is a different conversation from long distance with a plan.,depends entirely on the person and the timeline. long distance with no end date is a different conversation from long distance with a plan.,depends entirely on the person and the timeline long distance with no end date is a different conversation from long distance with a plan,depends entirely on the person and the timeline long distance with no end date is a different conversation from long distance with a plan,depends entirely on the person and the timeline long distance with no end date is a different conversation from long distance with a plan,depends entirely on the person and the timeline long distance with no end date is a different conversation from long distance with a plan,depends entirely person timeline long distance end date different conversation long distance plan,depend entir person timelin long distanc end date differ convers long distanc plan,depends entirely person timeline long distance end date different conversation long distance plan
realumutturan,"Long distance tests the mettle of love and commitment.
It's not about how often you talk, but how much you hold to each other in silence.
That's when the true strength of a relationship reveals itself.
And that's what lasts forever.","Long distance tests the mettle of love and commitment.
It's not about how often you talk, but how much you hold to each other in silence.
That's when the true strength of a relationship reveals itself.
And that's what lasts forever.","long distance tests the mettle of love and commitment.
it's not about how often you talk, but how much you hold to each other in silence.
that's when the true strength of a relationship reveals itself.
and that's what lasts forever.","long distance tests the mettle of love and commitment.
it's not about how often you talk, but how much you hold to each other in silence.
that's when the true strength of a relationship reveals itself.
and that's what lasts forever.","long distance tests the mettle of love and commitment.
it's not about how often you talk, but how much you hold to each other in silence.
that's when the true strength of a relationship reveals itself.
and that's what lasts forever.","long distance tests the mettle of love and commitment.
it is not about how often you talk, but how much you hold to each other in silence.
that is when the true strength of a relationship reveals itself.
and that is what lasts forever.","long distance tests the mettle of love and commitment
it is not about how often you talk but how much you hold to each other in silence
that is when the true strength of a relationship reveals itself
and that is what lasts forever","long distance tests the mettle of love and commitment
it is not about how often you talk but how much you hold to each other in silence
that is when the true strength of a relationship reveals itself
and that is what lasts forever",long distance tests the mettle of love and commitment it is not about how often you talk but how much you hold to each other in silence that is when the true strength of a relationship reveals itself and that is what lasts forever,long distance tests the settle of love and commitment it is not about how often you talk but how much you hold to each other in silence that is when the true strength of a relationship reveals itself and that is what lasts forever,long distance tests settle love commitment often talk much hold silence true strength relationship reveals lasts forever,long distanc test settl love commit often talk much hold silenc true strength relationship reveal last forev,long distance test settle love commitment often talk much hold silence true strength relationship reveals last forever
X_Quenvara,It always crashes cause of lack of trust.,It always crashes cause of lack of trust.,it always crashes cause of lack of trust.,it always crashes cause of lack of trust.,it always crashes cause of lack of trust.,it always crashes cause of lack of trust.,it always crashes cause of lack of trust,it always crashes cause of lack of trust,it always crashes cause of lack of trust,it always crashes cause of lack of trust,always crashes cause lack trust,alway crash caus lack trust,always crash cause lack trust
iamleoncc,"Yeah, but it comes with 99% overthinking and 1% actual texting","Yeah, but it comes with 99% overthinking and 1% actual texting","yeah, but it comes with 99% overthinking and 1% actual texting","yeah, but it comes with 99% overthinking and 1% actual texting","yeah, but it comes with 99% overthinking and 1% actual texting","yeah, but it comes with 99% overthinking and 1% actual texting",yeah but it comes with 99 overthinking and 1 actual texting,yeah but it comes with  overthinking and  actual texting,yeah but it comes with  overthinking and  actual texting,yeah but it comes with overlinking and actual texting,yeah comes overlinking actual texting,yeah come overlink actual text,yeah come overlinking actual texting
Auralis____,"Love is what matters most, distance isn't a problem","Love is what matters most, distance isn't a problem","love is what matters most, distance isn't a problem","love is what matters most, distance isn't a problem","love is what matters most, distance isn't a problem","love is what matters most, distance is not a problem",love is what matters most distance is not a problem,love is what matters most distance is not a problem,love is what matters most distance is not a problem,love is what matters most distance is not a problem,love matters distance problem,love matter distanc problem,love matter distance problem
ferdazzle,I did a long distance relationship for about 2 years. We are now married for 13 years and have 2 kids together.,I did a long distance relationship for about 2 years. We are now married for 13 years and have 2 kids together.,i did a long distance relationship for about 2 years. we are now married for 13 years and have 2 kids together.,i did a long distance relationship for about 2 years. we are now married for 13 years and have 2 kids together.,i did a long distance relationship for about 2 years. we are now married for 13 years and have 2 kids together.,i did a long distance relationship for about 2 years. we are now married for 13 years and have 2 kids together.,i did a long distance relationship for about 2 years we are now married for 13 years and have 2 kids together,i did a long distance relationship for about  years we are now married for  years and have  kids together,i did a long distance relationship for about  years we are now married for  years and have  kids together,i did a long distance relationship for about years we are now married for years and have kids together,long distance relationship years married years kids together,long distanc relationship year marri year kid togeth,long distance relationship year marry year kid together
Randommeme60377,My wife and I started as long distance. 3 years mostly long distance actually. We've been happily married for a year,My wife and I started as long distance. 3 years mostly long distance actually. We've been happily married for a year,my wife and i started as long distance. 3 years mostly long distance actually. we've been happily married for a year,my wife and i started as long distance. 3 years mostly long distance actually. we've been happily married for a year,my wife and i started as long distance. 3 years mostly long distance actually. we've been happily married for a year,my wife and i started as long distance. 3 years mostly long distance actually. we have been happily married for a year,my wife and i started as long distance 3 years mostly long distance actually we have been happily married for a year,my wife and i started as long distance  years mostly long distance actually we have been happily married for a year,my wife and i started as long distance  years mostly long distance actually we have been happily married for a year,my wife and i started as long distance years mostly long distance actually we have been happily married for a year,wife started long distance years mostly long distance actually happily married year,wife start long distanc year mostli long distanc actual happili marri year,wife start long distance year mostly long distance actually happily married year
jon_d_doe,"Let's talk about ""long distance relationship"".

If you can avoid it, please do by all means. You need to stay close to whomever you're in a relationship with. The person should not be miles away from you. 
Long distance relationship has worked for some people, but if you can avoid it, do so for your own sanity. If you stay away from your partner for a year, it's always difficult to connect again again regardless of how many times a day you call each other. Physical connection or emotional intimacy is very important in a relationship. LDR is a boring relationship & it leads to miscommunication & lack of trust. You and your partner can fight over the most insignificant things because of doubts. And this also affects marriages. Where husband & wife are far apart for too long. But for marriage, it has to be done if unavoidable. Because it's definitely for the good of the family.","Let's talk about ""long distance relationship"".

If you can avoid it, please do by all means. You need to stay close to whomever you're in a relationship with. The person should not be miles away from you. 
Long distance relationship has worked for some people, but if you can avoid it, do so for your own sanity. If you stay away from your partner for a year, it's always difficult to connect again again regardless of how many times a day you call each other. Physical connection or emotional intimacy is very important in a relationship. LDR is a boring relationship & it leads to miscommunication & lack of trust. You and your partner can fight over the most insignificant things because of doubts. And this also affects marriages. Where husband & wife are far apart for too long. But for marriage, it has to be done if unavoidable. Because it's definitely for the good of the family.","let's talk about ""long distance relationship"".

if you can avoid it, please do by all means. you need to stay close to whomever you're in a relationship with. the person should not be miles away from you. 
long distance relationship has worked for some people, but if you can avoid it, do so for your own sanity. if you stay away from your partner for a year, it's always difficult to connect again again regardless of how many times a day you call each other. physical connection or emotional intimacy is very important in a relationship. ldr is a boring relationship & it leads to miscommunication & lack of trust. you and your partner can fight over the most insignificant things because of doubts. and this also affects marriages. where husband & wife are far apart for too long. but for marriage, it has to be done if unavoidable. because it's definitely for the good of the family.","let's talk about ""long distance relationship"".

if you can avoid it, please do by all means. you need to stay close to whomever you're in a relationship with. the person should not be miles away from you. 
long distance relationship has worked for some people, but if you can avoid it, do so for your own sanity. if you stay away from your partner for a year, it's always difficult to connect again again regardless of how many times a day you call each other. physical connection or emotional intimacy is very important in a relationship. ldr is a boring relationship & it leads to miscommunication & lack of trust. you and your partner can fight over the most insignificant things because of doubts. and this also affects marriages. where husband & wife are far apart for too long. but for marriage, it has to be done if unavoidable. because it's definitely for the good of the family.","let's talk about ""long distance relationship"".

if you can avoid it, please do by all means. you need to stay close to whomever you're in a relationship with. the person should not be miles away from you. 
long distance relationship has worked for some people, but if you can avoid it, do so for your own sanity. if you stay away from your partner for a year, it's always difficult to connect again again regardless of how many times a day you call each other. physical connection or emotional intimacy is very important in a relationship. ldr is a boring relationship & it leads to miscommunication & lack of trust. you and your partner can fight over the most insignificant things because of doubts. and this also affects marriages. where husband & wife are far apart for too long. but for marriage, it has to be done if unavoidable. because it's definitely for the good of the family.","let us talk about ""long distance relationship"".

if you can avoid it, please do by all means. you need to stay close to whomever you are in a relationship with. the person should not be miles away from you. 
long distance relationship has worked for some people, but if you can avoid it, do so for your own sanity. if you stay away from your partner for a year, it is always difficult to connect again again regardless of how many times a day you call each other. physical connection or emotional intimacy is very important in a relationship. ldr is a boring relationship & it leads to miscommunication & lack of trust. you and your partner can fight over the most insignificant things because of doubts. and this also affects marriages. where husband & wife are far apart for too long. but for marriage, it has to be done if unavoidable. because it is definitely for the good of the family.","let us talk about long distance relationship

if you can avoid it please do by all means you need to stay close to whomever you are in a relationship with the person should not be miles away from you 
long distance relationship has worked for some people but if you can avoid it do so for your own sanity if you stay away from your partner for a year it is always difficult to connect again again regardless of how many times a day you call each other physical connection or emotional intimacy is very important in a relationship ldr is a boring relationship  it leads to miscommunication  lack of trust you and your partner can fight over the most insignificant things because of doubts and this also affects marriages where husband  wife are far apart for too long but for marriage it has to be done if unavoidable because it is definitely for the good of the family","let us talk about long distance relationship

if you can avoid it please do by all means you need to stay close to whomever you are in a relationship with the person should not be miles away from you 
long distance relationship has worked for some people but if you can avoid it do so for your own sanity if you stay away from your partner for a year it is always difficult to connect again again regardless of how many times a day you call each other physical connection or emotional intimacy is very important in a relationship ldr is a boring relationship  it leads to miscommunication  lack of trust you and your partner can fight over the most insignificant things because of doubts and this also affects marriages where husband  wife are far apart for too long but for marriage it has to be done if unavoidable because it is definitely for the good of the family",let us talk about long distance relationship  if you can avoid it please do by all means you need to stay close to whomever you are in a relationship with the person should not be miles away from you  long distance relationship has worked for some people but if you can avoid it do so for your own sanity if you stay away from your partner for a year it is always difficult to connect again again regardless of how many times a day you call each other physical connection or emotional intimacy is very important in a relationship ldr is a boring relationship  it leads to miscommunication  lack of trust you and your partner can fight over the most insignificant things because of doubts and this also affects marriages where husband  wife are far apart for too long but for marriage it has to be done if unavoidable because it is definitely for the good of the family,let us talk about long distance relationship if you can avoid it please do by all means you need to stay close to whomever you are in a relationship with the person should not be miles away from you long distance relationship has worked for some people but if you can avoid it do so for your own sanity if you stay away from your partner for a year it is always difficult to connect again again regardless of how many times a day you call each other physical connection or emotional intimacy is very important in a relationship ldr is a boring relationship it leads to miscommunication lack of trust you and your partner can fight over the most insignificant things because of doubts and this also affects marriages where husband wife are far apart for too long but for marriage it has to be done if unavoidable because it is definitely for the good of the family,let us talk long distance relationship avoid please means need stay close whomever relationship person miles away long distance relationship worked people avoid sanity stay away partner year always difficult connect regardless many times day call physical connection emotional intimacy important relationship ldr boring relationship leads miscommunication lack trust partner fight insignificant things doubts also affects marriages husband wife far apart long marriage done unavoidable definitely good family,let us talk long distanc relationship avoid pleas mean need stay close whomev relationship person mile away long distanc relationship work peopl avoid saniti stay away partner year alway difficult connect regardless mani time day call physic connect emot intimaci import relationship ldr bore relationship lead miscommun lack trust partner fight insignific thing doubt also affect marriag husband wife far apart long marriag done unavoid definit good famili,let u talk long distance relationship avoid please mean need stay close whomever relationship person mile away long distance relationship work people avoid sanity stay away partner year always difficult connect regardless many time day call physical connection emotional intimacy important relationship ldr boring relationship lead miscommunication lack trust partner fight insignificant thing doubt also affect marriage husband wife far apart long marriage do unavoidable definitely good family
Sirpascal_,"Long distance relationship isn't for broke people (I mean no disrespect), I have been in a long distance relationship and it actually worked out for me, we visit each other on weekends.
If there's any challenges, there's phone call, it it's urgent i take next flight ?? to see her","Long distance relationship isn't for broke people (I mean no disrespect), I have been in a long distance relationship and it actually worked out for me, we visit each other on weekends.
If there's any challenges, there's phone call, it it's urgent i take next flight ?? to see her","long distance relationship isn't for broke people (i mean no disrespect), i have been in a long distance relationship and it actually worked out for me, we visit each other on weekends.
if there's any challenges, there's phone call, it it's urgent i take next flight ?? to see her","long distance relationship isn't for broke people (i mean no disrespect), i have been in a long distance relationship and it actually worked out for me, we visit each other on weekends.
if there's any challenges, there's phone call, it it's urgent i take next flight ?? to see her","long distance relationship isn't for broke people (i mean no disrespect), i have been in a long distance relationship and it actually worked out for me, we visit each other on weekends.
if there's any challenges, there's phone call, it it's urgent i take next flight ?? to see her","long distance relationship is not for broke people (i mean no disrespect), i have been in a long distance relationship and it actually worked out for me, we visit each other on weekends.
if there's any challenges, there's phone call, it it is urgent i take next flight ?? to see her","long distance relationship is not for broke people i mean no disrespect i have been in a long distance relationship and it actually worked out for me we visit each other on weekends
if theres any challenges theres phone call it it is urgent i take next flight  to see her","long distance relationship is not for broke people i mean no disrespect i have been in a long distance relationship and it actually worked out for me we visit each other on weekends
if theres any challenges theres phone call it it is urgent i take next flight  to see her",long distance relationship is not for broke people i mean no disrespect i have been in a long distance relationship and it actually worked out for me we visit each other on weekends if theres any challenges theres phone call it it is urgent i take next flight  to see her,long distance relationship is not for broke people i mean no disrespect i have been in a long distance relationship and it actually worked out for me we visit each other on weekends if theres any challenges theres phone call it it is urgent i take next flight to see her,long distance relationship broke people mean disrespect long distance relationship actually worked visit weekends theres challenges theres phone call urgent take next flight see,long distanc relationship broke peopl mean disrespect long distanc relationship actual work visit weekend there challeng there phone call urgent take next flight see,long distance relationship break people mean disrespect long distance relationship actually work visit weekend there challenge there phone call urgent take next flight see
